url_path,views_total,views_unique
/gem/oq-irmt-qgis,8,5
/gem/oq-irmt-qgis/blob/master/svir/utilities/utils.py,6,2
/gem/oq-irmt-qgis/actions,4,1
/gem/oq-irmt-qgis/tree/master/svir,4,1
/gem/oq-irmt-qgis/blob/fed23aa93251f7caefbdf5950c0fdd87e724620d/svir/calculations/process_layer.py,2,2
/gem/oq-irmt-qgis/blob/master/svir/dialogs/load_output_as_layer_dialog.py,2,2
/gem/oq-irmt-qgis/tree/master/svir/utilities,2,1
/gem/oq-irmt-qgis/actions/runs/15892221882,1,1
/gem/oq-irmt-qgis/actions/runs/15892221882/job/44816723108,1,1
/gem/oq-irmt-qgis/tree/fed23aa93251f7caefbdf5950c0fdd87e724620d/svir,1,1
