url_path,views_total,views_unique
/gem/oq-irmt-qgis,6,5
/gem/oq-irmt-qgis/blob/master/svir/utilities/utils.py,5,2
/gem/oq-irmt-qgis/tree/master/svir,3,2
/gem/oq-irmt-qgis/blob/master/svir/dialogs/load_output_as_layer_dialog.py,2,2
/gem/oq-irmt-qgis/actions,2,1
/gem/oq-irmt-qgis/actions/runs/13541710843/workflow,1,1
/gem/oq-irmt-qgis/blob/master/bridge_example/index.html,1,1
/gem/oq-irmt-qgis/blob/master/bridge_example/README.md,1,1
/gem/oq-irmt-qgis/blob/master/.gitignore,1,1
/gem/oq-irmt-qgis/blob/master/README.md,1,1
