url_path,views_total,views_unique
/gem/oq-irmt-qgis,7,5
/gem/oq-irmt-qgis/blob/master/svir/utilities/utils.py,5,2
/gem/oq-irmt-qgis/tree/master/svir,3,2
/gem/oq-irmt-qgis/actions,3,1
/gem/oq-irmt-qgis/blob/master/svir/dialogs/load_output_as_layer_dialog.py,2,2
/gem/oq-irmt-qgis/actions/runs/15892221882,1,1
/gem/oq-irmt-qgis/actions/runs/15892221882/job/44816723108,1,1
/gem/oq-irmt-qgis/blob/master/bridge_example/index.html,1,1
/gem/oq-irmt-qgis/blob/master/bridge_example/README.md,1,1
/gem/oq-irmt-qgis/blob/master/.gitignore,1,1
