time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-28 00:00:00+00:00,3,3,2,2
2025-10-29 00:00:00+00:00,45,29,3,3
2025-10-30 00:00:00+00:00,20,7,2,2
2025-10-31 00:00:00+00:00,125,22,2,2
2025-11-01 00:00:00+00:00,20,7,4,4
2025-11-02 00:00:00+00:00,19,2,9,3
2025-11-03 00:00:00+00:00,28,13,1,1
2025-11-04 00:00:00+00:00,40,18,20,5
2025-11-05 00:00:00+00:00,25,11,2,2
2025-11-06 00:00:00+00:00,27,11,23,2
2025-11-07 00:00:00+00:00,56,39,19,4
2025-11-08 00:00:00+00:00,67,35,3,3
2025-11-09 00:00:00+00:00,15,4,2,1
2025-11-10 00:00:00+00:00,23,10,1,1
2025-11-11 00:00:00+00:00,24,8,2,2
