time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-03 00:00:00+00:00,14,1,,
2025-05-04 00:00:00+00:00,14,1,,
2025-05-05 00:00:00+00:00,14,1,21.0,6.0
2025-05-06 00:00:00+00:00,20,1,4.0,4.0
2025-05-07 00:00:00+00:00,38,1,20.0,2.0
2025-05-08 00:00:00+00:00,14,1,2.0,2.0
2025-05-09 00:00:00+00:00,14,1,1.0,1.0
2025-05-10 00:00:00+00:00,14,1,7.0,2.0
2025-05-11 00:00:00+00:00,14,1,5.0,2.0
2025-05-12 00:00:00+00:00,18,2,32.0,10.0
2025-05-13 00:00:00+00:00,14,1,26.0,6.0
2025-05-14 00:00:00+00:00,18,1,19.0,5.0
2025-05-15 00:00:00+00:00,51,2,25.0,5.0
2025-05-16 00:00:00+00:00,20,1,,
