time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-28 00:00:00+00:00,,,15,7
2025-06-29 00:00:00+00:00,1.0,1.0,79,8
2025-06-30 00:00:00+00:00,1.0,1.0,121,15
2025-07-01 00:00:00+00:00,2.0,2.0,74,18
2025-07-02 00:00:00+00:00,,,98,17
2025-07-03 00:00:00+00:00,1.0,1.0,39,15
2025-07-04 00:00:00+00:00,1.0,1.0,90,14
2025-07-05 00:00:00+00:00,,,69,12
2025-07-06 00:00:00+00:00,1.0,1.0,100,9
2025-07-07 00:00:00+00:00,,,65,21
2025-07-08 00:00:00+00:00,1.0,1.0,45,14
2025-07-09 00:00:00+00:00,,,82,15
2025-07-10 00:00:00+00:00,1.0,1.0,52,11
2025-07-11 00:00:00+00:00,2.0,2.0,79,9
