url_path,views_total,views_unique
/gem/global_exposure_model,29,25
/gem/global_exposure_model/blob/main/Europe/Turkey/Exposure_Res_Turkey_Adm1.csv,14,2
/gem/global_exposure_model/tree/main/Europe,7,5
/gem/global_exposure_model/tree/main/Europe/Turkey,7,3
/gem/global_exposure_model/tree/main/Europe/Italy,6,3
/gem/global_exposure_model/tree/main/Middle_East/Iran,5,4
/gem/global_exposure_model/blob/main/Europe/Italy/Exposure_Com_Italy_Adm1.csv,5,1
/gem/global_exposure_model/blob/main/Europe/Portugal/Exposure_Com_Portugal_Adm1.csv,5,1
/gem/global_exposure_model/tree/main,4,4
/gem/global_exposure_model/tree/main/South_Asia/India,4,4
