url_path,views_total,views_unique
/gem/global_exposure_model,48,37
/gem/global_exposure_model/tree/main/East_Asia/Japan,11,4
/gem/global_exposure_model/tree/main/Europe,10,8
/gem/global_exposure_model/tree/main,10,6
/gem/global_exposure_model/tree/main/Africa/Morocco,9,4
/gem/global_exposure_model/tree/main/Southeast_Asia/Indonesia,6,5
/gem/global_exposure_model/tree/main/East_Asia,6,3
/gem/global_exposure_model/tree/main/North_Asia/Russia,6,1
/gem/global_exposure_model/tree/main/Oceania/Fiji,6,1
/gem/global_exposure_model/tree/main/World,5,5
