url_path,views_total,views_unique
/gem/global_exposure_model,82,54
/gem/global_exposure_model/tree/main,45,26
/gem/global_exposure_model/tree/main/Europe/Italy,32,10
/gem/global_exposure_model/tree/main/Africa,26,14
/gem/global_exposure_model/blob/main/Europe/Turkey/expo_taxo.png,24,13
/gem/global_exposure_model/tree/main/Europe,23,19
/gem/global_exposure_model/blob/main/Europe/Turkey/expo_adm1_occ.png,20,11
/gem/global_exposure_model/tree/main/Africa/Morocco,17,3
/gem/global_exposure_model/tree/main/World,14,8
/gem/global_exposure_model/tree/main/South_Asia/India,13,7
