url_path,views_total,views_unique
/gem/global_exposure_model,219,85
/gem/global_exposure_model/tree/main/World,139,25
/gem/global_exposure_model/tree/main,62,25
/gem/global_exposure_model/tree/main/Europe,57,33
/gem/global_exposure_model/blob/main/World/Exposure_Adm0_Taxonomy.csv,39,13
/gem/global_exposure_model/blob/main/World/Exposure_Adm0_Summary.csv,33,8
/gem/global_exposure_model/tree/main/South_Asia/India,29,4
/gem/global_exposure_model/tree/main/Africa,25,15
/gem/global_exposure_model/tree/main/South_Asia,21,8
/gem/global_exposure_model/tree/main/Middle_East,20,7
