url_path,views_total,views_unique
/gem/global_exposure_model,87,56
/gem/global_exposure_model/tree/main,54,33
/gem/global_exposure_model/tree/main/Europe/Italy,30,9
/gem/global_exposure_model/blob/main/Europe/Turkey/expo_taxo.png,28,15
/gem/global_exposure_model/tree/main/Europe,26,20
/gem/global_exposure_model/tree/main/Africa,24,14
/gem/global_exposure_model/blob/main/Europe/Turkey/expo_adm1_occ.png,24,13
/gem/global_exposure_model/blob/main/Europe/Turkey/README.md,19,11
/gem/global_exposure_model/tree/main/Africa/Morocco,17,3
/gem/global_exposure_model/tree/main/World,15,9
