url_path,views_total,views_unique
/gem/global_exposure_model,110,68
/gem/global_exposure_model/tree/main/Europe,55,28
/gem/global_exposure_model/tree/main/Europe/Greece,28,8
/gem/global_exposure_model/tree/main,27,15
/gem/global_exposure_model/tree/main/Europe/Germany,15,6
/gem/global_exposure_model/tree/main/Africa,13,11
/gem/global_exposure_model/tree/main/Africa/Morocco,12,8
/gem/global_exposure_model/tree/main/East_Asia/China,12,5
/gem/global_exposure_model/tree/main/North_America/United_States,11,8
/gem/global_exposure_model/tree/main/Middle_East,10,5
