url_path,views_total,views_unique
/gem/geid,82,64
/gem/geid/tree/main/Europe,19,14
/gem/geid/tree/main/Europe/Turkey/20230206_M7.8_KahramanmarasGaziantep,11,6
/gem/geid/tree/main/Europe/Italy,10,7
/gem/geid/tree/main,7,6
/gem/geid/tree/main/Southeast_Asia/Indonesia,7,5
/gem/geid/tree/main/Europe/Turkey/20230206_M7.8_KahramanmarasGaziantep/1_Impact,7,2
/gem/geid/tree/main/South_Asia,6,5
/gem/geid/tree/main/Europe/Italy/20090000_Sequence_Laquila/20090406_M6.18_Laquila,6,2
/gem/geid/tree/main/Europe/Italy/20020000_Sequence_Molise,6,1
