url_path,views_total,views_unique
/gem/geid,38,33
/gem/geid/tree/main/Europe/Turkey/20230206_M7.8_KahramanmarasGaziantep/1_Impact,24,2
/gem/geid/tree/main/Europe/Turkey/20230206_M7.8_KahramanmarasGaziantep,18,2
/gem/geid/tree/main/Europe,14,7
/gem/geid/tree/main/Europe/Italy/20120000_Sequence_EmiliaRomagna,13,6
/gem/geid/tree/main,12,3
/gem/geid/tree/main/North_America/Mexico,11,5
/gem/geid/tree/main/Europe/Italy,9,5
/gem/geid/blob/main/Europe/Turkey/20230206_M7.8_KahramanmarasGaziantep/1_Impact/Impact_All_ID_0.csv,9,1
/gem/geid/tree/main/South_Asia,8,5
