url_path,views_total,views_unique
/gem/geid,70,54
/gem/geid/tree/main/Europe,20,11
/gem/geid/tree/main/Europe/Italy,16,5
/gem/geid/tree/main/Southeast_Asia/Indonesia,11,5
/gem/geid/issues/23,10,4
/gem/geid/tree/main/Europe/Turkey/20230206_M7.8_KahramanmarasGaziantep,9,4
/gem/geid/tree/main/Europe/Italy/20090000_Sequence_Laquila,8,3
/gem/geid/tree/main/Europe/Italy/20162017_Sequence_CentralItaly,8,2
/gem/geid/tree/main/Europe/Italy/20020000_Sequence_Molise,7,2
/gem/geid/tree/main/Europe/Italy/20090000_Sequence_Laquila/20090406_M6.18_Laquila,6,2
