url_path,views_total,views_unique
/gem/geid,30,23
/gem/geid/tree/main/Europe,9,6
/gem/geid/tree/main/South_America/Ecuador/20160416_M7.8_Pedernales,7,1
/gem/geid/tree/main/Europe/Turkey/20230206_M7.8_KahramanmarasGaziantep,6,1
/gem/geid/tree/main,5,4
/gem/geid/tree/main/South_America,5,3
/gem/geid/tree/main/East_Asia,3,3
/gem/geid/tree/main/East_Asia/Japan,3,3
/gem/geid/blob/main/South_America/Ecuador/20160416_M7.8_Pedernales/4_OpenQuake_gmfs/Sensitivity/oq_calcs_summary.csv,3,1
/gem/geid/tree/main/Europe/Italy/20090000_Sequence_Laquila,3,1
