time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-07 00:00:00+00:00,,,1,1
2024-11-08 00:00:00+00:00,,,51,11
2024-11-09 00:00:00+00:00,,,4,2
2024-11-11 00:00:00+00:00,,,46,9
2024-11-12 00:00:00+00:00,,,11,8
2024-11-13 00:00:00+00:00,,,97,6
2024-11-14 00:00:00+00:00,,,170,11
2024-11-15 00:00:00+00:00,,,64,8
2024-11-16 00:00:00+00:00,,,28,5
2024-11-17 00:00:00+00:00,,,4,4
2024-11-18 00:00:00+00:00,,,40,6
2024-11-19 00:00:00+00:00,1.0,1.0,69,9
2024-11-20 00:00:00+00:00,,,71,6
2024-11-21 00:00:00+00:00,,,34,4
