time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-01 00:00:00+00:00,,,94,9
2024-10-02 00:00:00+00:00,1.0,1.0,80,13
2024-10-03 00:00:00+00:00,,,103,15
2024-10-04 00:00:00+00:00,,,40,12
2024-10-06 00:00:00+00:00,,,8,1
2024-10-07 00:00:00+00:00,1.0,1.0,76,9
2024-10-08 00:00:00+00:00,,,31,7
2024-10-09 00:00:00+00:00,,,45,7
2024-10-10 00:00:00+00:00,,,30,4
2024-10-11 00:00:00+00:00,,,31,4
2024-10-13 00:00:00+00:00,,,1,1
2024-10-14 00:00:00+00:00,,,15,4
2024-10-15 00:00:00+00:00,,,5,2
