time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-06 00:00:00+00:00,0,0,18,3
2024-09-07 00:00:00+00:00,0,0,53,8
2024-09-08 00:00:00+00:00,0,0,105,7
2024-09-09 00:00:00+00:00,0,0,110,15
2024-09-10 00:00:00+00:00,0,0,95,13
2024-09-11 00:00:00+00:00,0,0,130,13
2024-09-12 00:00:00+00:00,0,0,113,14
2024-09-13 00:00:00+00:00,0,0,149,15
2024-09-14 00:00:00+00:00,1,1,28,5
2024-09-15 00:00:00+00:00,0,0,56,4
2024-09-16 00:00:00+00:00,0,0,182,20
2024-09-17 00:00:00+00:00,0,0,443,19
2024-09-18 00:00:00+00:00,0,0,136,18
2024-09-19 00:00:00+00:00,0,0,102,16
2024-09-20 00:00:00+00:00,0,0,86,12
2024-09-21 00:00:00+00:00,0,0,47,4
2024-09-22 00:00:00+00:00,0,0,3,3
2024-09-23 00:00:00+00:00,0,0,171,21
2024-09-24 00:00:00+00:00,0,0,107,13
2024-09-25 00:00:00+00:00,0,0,121,13
2024-09-26 00:00:00+00:00,0,0,99,25
2024-09-27 00:00:00+00:00,0,0,41,9
2024-09-28 00:00:00+00:00,0,0,9,2
2024-09-29 00:00:00+00:00,0,0,9,5
2024-09-30 00:00:00+00:00,0,0,17,6
2024-10-01 00:00:00+00:00,0,0,37,12
2024-10-02 00:00:00+00:00,0,0,74,11
2024-10-03 00:00:00+00:00,1,1,99,20
2024-10-04 00:00:00+00:00,0,0,57,15
2024-10-05 00:00:00+00:00,0,0,23,7
2024-10-06 00:00:00+00:00,0,0,29,5
2024-10-07 00:00:00+00:00,1,1,96,17
2024-10-08 00:00:00+00:00,0,0,161,19
2024-10-09 00:00:00+00:00,0,0,218,22
2024-10-10 00:00:00+00:00,0,0,53,11
2024-10-11 00:00:00+00:00,0,0,28,4
2024-10-12 00:00:00+00:00,0,0,5,5
2024-10-13 00:00:00+00:00,0,0,10,5
2024-10-14 00:00:00+00:00,0,0,150,22
2024-10-15 00:00:00+00:00,0,0,62,14
2024-10-16 00:00:00+00:00,0,0,109,12
2024-10-17 00:00:00+00:00,0,0,93,12
2024-10-18 00:00:00+00:00,0,0,36,13
2024-10-19 00:00:00+00:00,0,0,2,2
2024-10-20 00:00:00+00:00,0,0,21,5
2024-10-21 00:00:00+00:00,0,0,64,14
2024-10-22 00:00:00+00:00,0,0,89,21
2024-10-23 00:00:00+00:00,0,0,63,18
2024-10-24 00:00:00+00:00,0,0,175,27
2024-10-25 00:00:00+00:00,0,0,58,10
2024-10-26 00:00:00+00:00,0,0,3,1
2024-10-27 00:00:00+00:00,0,0,32,4
2024-10-28 00:00:00+00:00,0,0,56,14
2024-10-29 00:00:00+00:00,0,0,72,19
2024-10-30 00:00:00+00:00,0,0,130,19
2024-10-31 00:00:00+00:00,0,0,129,22
2024-11-01 00:00:00+00:00,0,0,22,10
2024-11-02 00:00:00+00:00,0,0,8,2
2024-11-03 00:00:00+00:00,0,0,8,1
2024-11-04 00:00:00+00:00,0,0,131,28
2024-11-05 00:00:00+00:00,0,0,107,22
2024-11-06 00:00:00+00:00,0,0,41,15
2024-11-07 00:00:00+00:00,0,0,47,17
2024-11-08 00:00:00+00:00,0,0,67,16
2024-11-09 00:00:00+00:00,0,0,64,8
2024-11-10 00:00:00+00:00,0,0,20,8
2024-11-11 00:00:00+00:00,0,0,139,25
2024-11-12 00:00:00+00:00,0,0,117,20
