time_iso8601,stars_cumulative
2023-01-28 00:00:00+00:00,1
2023-01-30 00:00:00+00:00,2
2023-07-11 00:00:00+00:00,3
2023-09-20 00:00:00+00:00,4
2023-09-25 00:00:00+00:00,5
2023-10-13 00:00:00+00:00,6
2023-11-10 00:00:00+00:00,7
2023-12-08 00:00:00+00:00,8
2024-01-15 00:00:00+00:00,9
2024-02-09 00:00:00+00:00,10
2024-04-16 00:00:00+00:00,11
2024-04-24 00:00:00+00:00,12
2024-06-28 00:00:00+00:00,13
2024-07-23 00:00:00+00:00,14
2024-08-15 00:00:00+00:00,15
2024-12-09 00:00:00+00:00,16
2025-02-10 00:00:00+00:00,17
2025-03-25 00:00:00+00:00,18
2025-05-06 00:00:00+00:00,19
2025-06-07 00:00:00+00:00,20
2025-06-23 00:00:00+00:00,21
