time_iso8601,stars_cumulative
2023-09-04 00:00:00+00:00,1
2023-10-23 00:00:00+00:00,2
2023-10-27 00:00:00+00:00,3
2023-12-04 00:00:00+00:00,4
2024-02-20 00:00:00+00:00,5
2024-03-14 00:00:00+00:00,6
2024-03-15 00:00:00+00:00,7
2024-03-16 00:00:00+00:00,8
2024-06-08 00:00:00+00:00,9
2024-11-04 00:00:00+00:00,10
2024-11-10 00:00:00+00:00,11
2024-12-25 00:00:00+00:00,12
2025-02-11 00:00:00+00:00,13
2025-08-23 00:00:00+00:00,14
2025-09-21 00:00:00+00:00,15
2025-09-22 00:00:00+00:00,16
2025-10-01 00:00:00+00:00,17
2025-10-12 00:00:00+00:00,18
2025-11-10 00:00:00+00:00,19
2025-12-05 00:00:00+00:00,20
