time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-06 00:00:00+00:00,6,4,0,0
2024-09-07 00:00:00+00:00,6,4,0,0
2024-09-08 00:00:00+00:00,3,1,0,0
2024-09-09 00:00:00+00:00,3,1,0,0
2024-09-10 00:00:00+00:00,3,1,0,0
2024-09-11 00:00:00+00:00,6,4,0,0
2024-09-12 00:00:00+00:00,4,2,0,0
2024-09-13 00:00:00+00:00,15,4,32,2
2024-09-14 00:00:00+00:00,12,1,0,0
2024-09-15 00:00:00+00:00,14,3,0,0
2024-09-16 00:00:00+00:00,19,1,92,2
2024-09-17 00:00:00+00:00,15,1,9,2
2024-09-18 00:00:00+00:00,33,11,105,3
2024-09-19 00:00:00+00:00,13,1,6,1
