time_iso8601,stars_cumulative
2010-06-28 00:00:00+00:00,10
2010-07-02 00:00:00+00:00,11
2010-07-21 00:00:00+00:00,12
2010-07-28 00:00:00+00:00,13
2010-08-02 00:00:00+00:00,17
2010-08-17 00:00:00+00:00,18
2010-09-13 00:00:00+00:00,19
2010-11-02 00:00:00+00:00,20
2010-11-29 00:00:00+00:00,21
2010-12-02 00:00:00+00:00,22
2011-02-13 00:00:00+00:00,23
2011-03-22 00:00:00+00:00,24
2011-04-07 00:00:00+00:00,25
2011-04-29 00:00:00+00:00,26
2011-05-17 00:00:00+00:00,27
2011-06-21 00:00:00+00:00,28
2011-07-08 00:00:00+00:00,29
2011-08-13 00:00:00+00:00,30
2011-08-23 00:00:00+00:00,31
2011-10-13 00:00:00+00:00,32
2011-11-04 00:00:00+00:00,33
2012-01-31 00:00:00+00:00,34
2012-02-23 00:00:00+00:00,35
2012-03-20 00:00:00+00:00,36
2012-04-02 00:00:00+00:00,37
2012-04-23 00:00:00+00:00,38
2012-04-28 00:00:00+00:00,39
2013-03-16 00:00:00+00:00,40
2013-04-05 00:00:00+00:00,41
2013-07-18 00:00:00+00:00,42
2013-11-21 00:00:00+00:00,43
2013-11-22 00:00:00+00:00,44
2013-12-18 00:00:00+00:00,45
2013-12-21 00:00:00+00:00,46
2014-01-14 00:00:00+00:00,47
2014-02-02 00:00:00+00:00,48
2014-04-04 00:00:00+00:00,49
2014-04-30 00:00:00+00:00,50
2014-05-29 00:00:00+00:00,51
2014-08-05 00:00:00+00:00,52
2014-08-20 00:00:00+00:00,53
2014-08-28 00:00:00+00:00,54
2014-09-16 00:00:00+00:00,55
2014-10-24 00:00:00+00:00,56
2014-11-02 00:00:00+00:00,57
2014-11-03 00:00:00+00:00,58
2015-02-01 00:00:00+00:00,59
2015-02-02 00:00:00+00:00,60
2015-03-10 00:00:00+00:00,61
2015-03-31 00:00:00+00:00,62
2015-04-06 00:00:00+00:00,63
2015-05-26 00:00:00+00:00,64
2015-07-31 00:00:00+00:00,65
2015-10-07 00:00:00+00:00,66
2015-10-26 00:00:00+00:00,67
2016-02-02 00:00:00+00:00,68
2016-02-16 00:00:00+00:00,69
2016-03-04 00:00:00+00:00,70
2016-03-23 00:00:00+00:00,71
2016-05-27 00:00:00+00:00,72
2016-10-08 00:00:00+00:00,73
2016-11-26 00:00:00+00:00,74
2016-12-01 00:00:00+00:00,75
2017-01-11 00:00:00+00:00,76
2017-03-10 00:00:00+00:00,77
2017-03-15 00:00:00+00:00,78
2017-04-20 00:00:00+00:00,79
2017-05-03 00:00:00+00:00,80
2017-06-07 00:00:00+00:00,81
2017-06-21 00:00:00+00:00,82
2017-07-04 00:00:00+00:00,83
2017-07-05 00:00:00+00:00,84
2017-07-14 00:00:00+00:00,87
2017-08-24 00:00:00+00:00,88
2017-09-11 00:00:00+00:00,89
2017-09-22 00:00:00+00:00,90
2017-10-15 00:00:00+00:00,91
2017-10-16 00:00:00+00:00,92
2017-10-24 00:00:00+00:00,93
2017-11-06 00:00:00+00:00,95
2017-11-15 00:00:00+00:00,96
