time_iso8601,forks_cumulative
2011-01-13 00:00:00+00:00,1
2011-01-19 00:00:00+00:00,2
2011-01-26 00:00:00+00:00,3
2011-02-04 00:00:00+00:00,4
2011-03-22 00:00:00+00:00,5
2011-05-04 00:00:00+00:00,6
2011-06-01 00:00:00+00:00,7
2011-06-03 00:00:00+00:00,8
2011-06-07 00:00:00+00:00,9
2011-06-21 00:00:00+00:00,10
2011-07-08 00:00:00+00:00,11
2011-08-17 00:00:00+00:00,12
2011-08-23 00:00:00+00:00,13
2011-10-28 00:00:00+00:00,14
2012-03-22 00:00:00+00:00,15
2012-04-02 00:00:00+00:00,16
2012-04-28 00:00:00+00:00,17
2012-05-30 00:00:00+00:00,18
2012-06-08 00:00:00+00:00,19
2012-08-10 00:00:00+00:00,20
2012-10-12 00:00:00+00:00,21
2012-10-19 00:00:00+00:00,22
2013-01-03 00:00:00+00:00,23
2013-02-21 00:00:00+00:00,24
2013-02-25 00:00:00+00:00,25
2013-03-12 00:00:00+00:00,26
2013-07-09 00:00:00+00:00,27
2013-11-06 00:00:00+00:00,28
2013-11-22 00:00:00+00:00,29
2013-12-02 00:00:00+00:00,30
2014-02-11 00:00:00+00:00,31
2014-04-23 00:00:00+00:00,32
2014-04-30 00:00:00+00:00,33
2014-07-30 00:00:00+00:00,34
2014-08-28 00:00:00+00:00,35
2014-09-14 00:00:00+00:00,36
2014-09-26 00:00:00+00:00,37
2014-10-02 00:00:00+00:00,38
2014-11-21 00:00:00+00:00,39
2015-01-07 00:00:00+00:00,40
2015-03-18 00:00:00+00:00,41
2015-04-22 00:00:00+00:00,42
2015-05-11 00:00:00+00:00,43
2015-06-05 00:00:00+00:00,44
2015-06-20 00:00:00+00:00,45
2016-01-19 00:00:00+00:00,46
2016-03-17 00:00:00+00:00,47
2016-06-01 00:00:00+00:00,48
2016-06-13 00:00:00+00:00,49
2016-07-07 00:00:00+00:00,50
2016-07-25 00:00:00+00:00,51
2016-08-11 00:00:00+00:00,52
2017-03-03 00:00:00+00:00,53
2017-05-26 00:00:00+00:00,54
2017-06-09 00:00:00+00:00,55
2017-06-21 00:00:00+00:00,56
2017-07-10 00:00:00+00:00,57
2017-07-12 00:00:00+00:00,59
2017-07-23 00:00:00+00:00,60
2017-08-10 00:00:00+00:00,61
2017-11-15 00:00:00+00:00,62
2017-11-16 00:00:00+00:00,63
2017-11-21 00:00:00+00:00,64
2017-12-03 00:00:00+00:00,65
2017-12-08 00:00:00+00:00,66
2017-12-14 00:00:00+00:00,67
2017-12-21 00:00:00+00:00,68
2018-01-13 00:00:00+00:00,69
2018-01-16 00:00:00+00:00,70
2018-01-19 00:00:00+00:00,71
2018-01-29 00:00:00+00:00,72
2018-02-13 00:00:00+00:00,73
2018-02-14 00:00:00+00:00,74
2018-03-19 00:00:00+00:00,75
2018-04-02 00:00:00+00:00,76
2018-04-18 00:00:00+00:00,77
2018-05-20 00:00:00+00:00,78
2018-05-29 00:00:00+00:00,79
2018-06-08 00:00:00+00:00,80
2018-06-19 00:00:00+00:00,81
2018-06-30 00:00:00+00:00,82
2018-07-19 00:00:00+00:00,83
2018-07-26 00:00:00+00:00,84
2018-07-31 00:00:00+00:00,85
2018-08-16 00:00:00+00:00,86
2018-08-19 00:00:00+00:00,87
2018-10-10 00:00:00+00:00,88
2018-10-13 00:00:00+00:00,89
2018-10-19 00:00:00+00:00,91
2018-11-07 00:00:00+00:00,92
2018-11-20 00:00:00+00:00,93
2018-12-04 00:00:00+00:00,94
2018-12-10 00:00:00+00:00,95
2019-02-20 00:00:00+00:00,96
2019-02-22 00:00:00+00:00,97
2019-02-26 00:00:00+00:00,98
2019-03-11 00:00:00+00:00,99
2019-05-05 00:00:00+00:00,100
