time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-06 00:00:00+00:00,37,2,19,2
2024-09-07 00:00:00+00:00,18,1,0,0
2024-09-08 00:00:00+00:00,18,1,0,0
2024-09-09 00:00:00+00:00,19,1,8,1
2024-09-10 00:00:00+00:00,18,1,1,1
2024-09-11 00:00:00+00:00,18,1,9,1
2024-09-12 00:00:00+00:00,18,1,0,0
2024-09-13 00:00:00+00:00,18,1,4,2
2024-09-14 00:00:00+00:00,18,1,0,0
2024-09-15 00:00:00+00:00,18,1,0,0
2024-09-16 00:00:00+00:00,18,1,0,0
2024-09-17 00:00:00+00:00,18,1,3,1
2024-09-18 00:00:00+00:00,18,1,3,3
2024-09-19 00:00:00+00:00,18,1,3,1
2024-09-20 00:00:00+00:00,18,1,9,3
2024-09-21 00:00:00+00:00,18,1,0,0
2024-09-22 00:00:00+00:00,18,1,0,0
2024-09-23 00:00:00+00:00,18,1,2,2
2024-09-24 00:00:00+00:00,18,1,3,3
2024-09-25 00:00:00+00:00,18,1,4,3
2024-09-26 00:00:00+00:00,36,1,8,2
2024-09-27 00:00:00+00:00,30,1,4,1
