time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-14 00:00:00+00:00,1.0,1.0,13,4
2025-10-15 00:00:00+00:00,1.0,1.0,107,30
2025-10-16 00:00:00+00:00,,,58,20
2025-10-17 00:00:00+00:00,,,57,21
2025-10-18 00:00:00+00:00,2.0,1.0,44,14
2025-10-19 00:00:00+00:00,1.0,1.0,17,7
2025-10-20 00:00:00+00:00,,,70,17
2025-10-21 00:00:00+00:00,,,77,27
2025-10-22 00:00:00+00:00,1.0,1.0,66,25
2025-10-23 00:00:00+00:00,1.0,1.0,83,24
2025-10-24 00:00:00+00:00,,,93,25
2025-10-25 00:00:00+00:00,1.0,1.0,21,5
2025-10-26 00:00:00+00:00,2.0,1.0,72,19
2025-10-27 00:00:00+00:00,,,153,41
2025-10-28 00:00:00+00:00,3.0,2.0,36,9
